Id,Title,Release_date,Rating,Times_listed,Number_of_reviews,Summary,Plays,Playing,Backlogs,Wishlist
431,Hogwarts Legacy,"Feb 10, 2023",3.5,474,474,"Hogwarts Legacy is an immersive, open-world action RPG set in the world first introduced in the Harry Potter books. Now you can take control of the action and be at the center of your own adventure in the wizarding world. Embark on a journey through familiar and new locations as you explore and discover fantastic beasts, customize your character and craft potions, master spell casting, upgrade talents, and become the wizard you want to be. Discover the feeling of living at Hogwarts as you make allies, battle Dark wizards, and ultimately decide the fate of the wizarding world. Your legacy is what you make of it.",14000,766,686,16000
432,Mario Kart Wii,"Apr 10, 2008",3.9,1000,1000,"Mario Kart Wii is a multiplayer-oriented racing game for the Wii, and the sixth main installment in the Mario Kart series. Mario Kart Wii retains the traditional item-based weaponry familiar with the franchise, where players can select a Mario franchise driver and themed vehicles. As with most racing games, the overarching goal is to place first among other competitors, through the usage of such items and taking the fastest routes to secure the leads. Several new key elements introduced to Mario Kart Wii include increasing the number of racers to 12 racers from 8 racers from previous entries in the series, as well as introducing a new type of vehicle to the franchise: bikes. The game takes advantage of features unique to the Wii, most notably its motion control capabilities. A Wii Wheel is included in most Mario Kart Wii packages, though the game is still compatible with other controllers. Game modes are also present such as the traditional Grand Prix, Versus, Battle, and Time Trial modes.",19000,88,461,168
433,Resident Evil 3,"Apr 03, 2020",3.2,13000,13000,"Resident Evil 3 is a remake of the original Resident Evil 3: Nemesis released in 1999. It updates the story and gameplay for a modern audience. Like the Resident Evil 2 remake, the game uses over-the-shoulder third person point of view similar to Resident Evil 4 and later installments. Players will spend most of their time playing as Jill Valentine, although on some occasions they will assume the role of Carlos Oliveira, giving him more screen time as a deuteragonist.",84000,157,24000,16000
434,Unpacking,"nov. 02, 2021",3.6,751,751,"Unpacking is a zen puzzle game about the familiar experience of pulling possessions out of boxes and fitting them into a new home. Part block-fitting puzzle, part home decoration, you are invited to create a satisfying living space while learning clues about the life you’re unpacking.
             

              Over the course of eight house moves, you are given a chance to experience a sense of intimacy with a character you never see and a story you’re never told.",49000,216,996,13000
435,Red Dead Redemption,"May 18, 2010",4.2,15000,15000,"A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open-world filled with wildlife, mini games and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family, and meets many characters emblematic of the Wild West, heroism and the new civilization along his journey.",13000,218,24000,16000
436,Tales of Arise,"Sep 10, 2021",3.6,650,650,"On the planet Dahna, reverence has always been given to Rena--the planet in the sky--as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.
             

              Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featuring a diverse cast of characters, intuitive and rewarding combat system, and a captivating story set in a lush world worth fighting for, Tales of Arise delivers a first-class JRPG experience.",31000,571,23000,19000
437,Deltarune: Chapter 1,"oct. 31, 2018",3.9,591,591,"The story follows a human named Kris who lives in a world inhabited by monsters. Kris and a classmate named Susie fall into an unknown place called the ""Dark World"" where they meet Ralsei, who informs them that they are heroes destined to save the world. The trio meets various beings who call themselves ""Darkners"" during a prophesied quest to seal the duplicate Dark Fountain. Mainly through the combat system, the player navigates through different kinds of bullet hell attacks by enemies, which can be resolved peacefully or through violence.",11000,107,18000,729
438,Dead Space,"Jan 27, 2023",4.3,501,501,"The sci-fi survival horror classic Dead Space returns, completely rebuilt from the ground up by Motive Studios to offer a deeper and more immersive experience. Harnessing the power of the Frostbite game engine and next generation consoles, this remake brings jaw-dropping visual fidelity and improvements to gameplay while staying true to the original.",13000,248,985,19000
439,Tomb Raider,"Mar 04, 2013",3.5,896,896,"Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold.",15000,175,27000,508
440,Super Mario Galaxy 2,"May 23, 2010",4.3,18000,18000,"Super Mario Galaxy 2 is the sequel to Super Mario Galaxy and the fourth 3D platformer entry in the Mario franchise. The sequel retains many elements from its predecessor, such as the adventure being in outer space, the element of gravity, and recurring objects such as Launch Stars and Sling Stars. Returning items include the Bee Mushroom and the Fire Flower. However, the game introduces new elements as well, such as the utilization of Yoshi, new power-ups like the Cloud Flower, and the use of a guide within the game for beginner players.",13000,123,25000,13000
441,Donkey Kong Country,"nov. 18, 1994",3.9,13000,13000,"Donkey Kong Country is a side scrolling platformer by British developers Rare in 1994. It featured revolutionary pre-rendered 3D graphics that give the game a very unique look compared to most other games on consoles at the time. The two playable characters featured in the game are the titular character, Donkey Kong and his nephew, Diddy Kong. Together the two swing, climb, jump, swim, cartwheel, ride animals, and blast out of barrels on their way to recover their stolen bannanas from the evil King K. Rool and his Kremling army. The adventure takes you through a variety of different environments and levels that continually change up gameplay. Donkey Kong Country also provides plenty of opportunities for exploration with almost every level having a multitude of collectible, shortcuts, and hidden bonus areas.",11000,186,19000,514
442,What Remains of Edith Finch,"Apr 24, 2017",4,14000,14000,"What Remains of Edith Finch is a collection of short stories about a cursed family in Washington State.
             

              Each story offers a chance to experience the life of a different family member with stories ranging from the early 1900s to the present day. The gameplay and tone of the stories are as varied as the family members themselves. The only constants are that each is played from a first-person perspective and that each story ends with that family member's death. It's a game about what it feels like to be humbled and astonished by the vast and unknowable world around us.
             

              You'll follow Edith Finch as she explores the history of her family and tries to figure out why she's the last Finch left alive.",86000,61,22000,13000
443,Monster Hunter Rise,"Mar 26, 2021",4,789,789,"Rise to the challenge and join the hunt! In Monster Hunter Rise, the latest installment in the award-winning and top-selling Monster Hunter series, youâ€™ll become a hunter, explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an all-new storyline.",57000,11000,18000,13000
444,Pokémon Emerald,"Sep 16, 2004",4,12000,12000,"Pokémon Emerald Version is a sister game to Pokémon Ruby and Sapphire. Emerald Version provided the main storyline with more depth and length, as well as making small aesthetic changes to the world and adding unique animations for each Pokémon.",16000,219,1000,376
445,NEO: The World Ends with You,"Jul 26, 2021",4.2,725,725,"Explore a stylized recreation of Shibuya, as you take on the role of Rindo to battle for survival and unravel the mysteries of the deadly “Reaper’s Game” in this new Action RPG and follow-up to the classic RPG hit ""The World Ends with You.""",25000,357,24000,2000
446,Assassin's Creed II,"nov. 17, 2009",3.8,13000,13000,"Discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the Italian Renaissance.
              
              Experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful Venice. Your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements.",16000,140,15000,521
447,Pokémon Scarlet,"nov. 18, 2022",3.5,596,596,"The Pokémon Scarlet and Pokémon Violet games, the newest chapters in the Pokémon series, are coming to Nintendo Switch later this year. With these new titles, the Pokémon series takes a new evolutionary step, allowing you to explore freely in a richly expressed open world.
             

              Various towns blend seamlessly into the wilderness with no borders. You’ll be able to see the Pokémon of this region in the skies, in the seas, in the forests, on the streets—all over! You’ll be able to experience the true joy of the Pokémon series—battling against wild Pokémon in order to catch them—now in an open-world game that players of any age can enjoy.​",26000,580,489,496
448,Dead Space,"oct. 14, 2008",4,12000,12000,"Dead Space is a 2008 science fiction survival horror video game developed by EA Redwood Shores (now Visceral Games) for Microsoft Windows, PlayStation 3 and Xbox 360. The game was released on all platforms through October 2008. The game puts the player in control of an engineer named Isaac Clarke, who battles the Necromorphs, reanimated human corpses, aboard an interstellar mining ship, the USG Ishimura.",96000,302,27000,11000
449,New Super Mario Bros.,"May 15, 2006",3.5,991,991,"New Super Mario Bros. is a side-scrolling 2.5D action-adventure platformer game for the Nintendo DS, starring Mario and Luigi. The game features a solo story mode with Mario or Luigi, a two-player wireless game Mario Vs. Luigi, as well as a minigame mode for up to four players. The gameplay of New Super Mario Bros. is very much like that of the classic 2D platformers, mostly Super Mario Bros. and Super Mario Bros. 3, and substantially builds upon them to create gameplay both classic and contemporary. As the game is on DS, the touch screen allows players to store an additional power-up and view the distance still to go in a level.",16000,108,824,287
450,Shadow of the Colossus,"Feb 06, 2018",4.1,11000,11000,"Tales speak of an ancient land where creatures the size of mountains, roam the majestic landscape. Bound to the land, these creatures hold a key to a mystical power of revival - a power you must obtain to waken a loved one.
             

              Shadow of the Colossus is a majestic journey through ancient lands to seek out and destroy gigantic mythical beasts. With your trusty horse at your side, explore the spacious lands and unearth each Colossi. Armed with your wits, a sword and a bow, use cunning and strategy to topple each behemoth.
             

              A remake of the critically-claimed game of the same title. Also from the minds that brought you The Last Guardian & ICO",78000,242,32000,16000
451,Horizon Forbidden West,"Feb 18, 2022",3.8,830,830,"Horizon Forbidden West continues Aloy’s story as she moves west to a far-future America to brave a majestic, but dangerous frontier where she’ll face awe-inspiring machines and mysterious new threats.",27000,561,21000,23000
452,Ori and the Blind Forest,"Mar 11, 2015",3.9,780,780,"The forest of Nibel is dying. After a powerful storm sets a series of devastating events in motion, an unlikely hero must journey to find his courage and confront a dark nemesis to save his home. Ori and the Blind Forest tells the tale of a young orphan destined for heroics, through a visually stunning action-platformer crafted by Moon Studios for Xbox One and PC. Featuring hand-painted artwork, meticulously animated character performance, and a fully orchestrated score, Ori and the Blind Forest explores a deeply emotional story about love and sacrifice, and the hope that exists in us all.",79000,260,29000,14000
453,Demon's Souls,"nov. 12, 2020",3.9,880,880,"Entirely rebuilt from the ground up and masterfully enhanced, Demon's Souls is a remake of the 2009 release that introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality with incredible performance. The remake features improved graphics and animations, sound and lighting tweaks and a reimagining of many of the visual, musical and mechanical aspects of the original game.",41000,403,24000,21000
454,A Plague Tale: Innocence,"May 14, 2019",3.7,852,852,"A Plague Tale: Innocence, on PlayStation 4, Xbox One and PC, tells the grim story of two siblings fighting together for survival in the darkest hours of History. This new video game from Asobo Studio sends you on an emotional journey through the 14th century France, with gameplay combining adventure, action and stealth, supported by a compelling story. Follow the young Amicia and her little brother Hugo, who face the brutality of a ravaged world as they discover their purpose to expose a dark secret. On the run from the Inquisition's soldiers, surrounded by unstoppable swarms of rats incarnating the Black Death, Amicia and Hugo will learn to know and trust each other as they struggle for their lives against all odds.",54000,202,26000,1000
455,The Legend of Zelda: Link's Awakening,"Sep 20, 2019",3.9,11000,11000,"The Legend of Zelda: Link's Awakening is a remake of the 1993 game of the same name. Besides the complete graphical and sound overhaul, its gameplay controls have been changed to incorporate the additional buttons the Switch holds as opposed to the 2-button choice of the Game Boy. The overworld map is far more detailed and specific locations can now be marked to be returned to on a later occasion. Additional heart-pieces can also be won, extending the heart meter to a total of 20 instead of the 14 hearts of the original.",76000,387,28000,2000
456,Assassin's Creed,"nov. 13, 2007",2.9,801,801,"Assassin's Creed is a non-linear action-adventure video game, during which the player controls a 12th-century Levantine Assassin named Altaïr Ibn-La'Ahad during the Third Crusade, whose life is experienced through the Animus by his 21st century descendant, Desmond Miles.",13000,118,12000,496
457,Judgment,"Dec 13, 2018",4.1,890,890,"Judgment is an action-adventure game played from a third-person perspective. The game is a legal thriller set in the Yakuza world of Kamurocho and follows private detective Takayuki Yagami as he investigates a serial murder case. It stars Japanese actor Takuya Kimura and employs a fighting system similar to that of Yakuza 0 where players can change into different styles, namely crane-style which is more focused on fighting groups and tiger-style which is more focused on fighting individuals. Additionally, the game features an investigation mode where the player must find traces of the criminal.",31000,358,23000,16000
458,Call of Duty: Black Ops,"nov. 09, 2010",3.7,920,920,"Call of Duty: Black Ops is the seventh main Call of Duty game and the sequel to Call of Duty: World at War. The game differs from most previous installments, which would involve a usual three-country campaign, while Call of Duty: Black Ops features two playable countries (Russia and the USA) but only has an American campaign. Several new features are also introduced, such as dive-to-prone and the available use of a flashlight on certain weapons. Furthermore, the campaign's playable characters now speak while being controlled by the player.",14000,44,611,318
459,Ratchet & Clank: Rift Apart,"Jun 11, 2021",4,906,906,"Go dimension-hopping with Ratchet and Clank as they take on an evil emperor from another reality. Jump between action-packed worlds and beyond at mind-blowing speeds, complete with dazzling visuals and an insane arsenal.",37000,218,15000,17000
460,Pokémon Black,"Sep 18, 2010",4,1000,1000,"Pokémon Black Version and Pokémon White Version are the primary paired versions of Generation V.
              
              Black and White follow the trends set up by previous games in the series. Two player characters (one male and one female) travel a new region, Unova, on their Pokémon journeys. This region is inhabited by various Pokémon, and unlike before, none of those available prior to Generation V can be obtained before completing the main story by defeating Team Plasma.
              
              The games' names were revealed on the official Japanese Pokémon website on April 9, 2010, and scans from the subsequent issue of the magazine leaked the following day, April 10.
              
              Pokémon Black and White are followed in 2012 by two sequels, Pokémon Black 2 and White 2, which are set two years after the events of Black and White. Black 2 and White 2 are the second and final paired versions of Generation V.",12000,186,11000,461
461,The Stanley Parable,"oct. 17, 2013",3.8,767,767,"The Stanley Parable is a first-person exploration game which ponders questions related to player agency, narrative pacing, escapism through gaming, objective-driven game design, authorial intent, and the conflict of interest between players and game creators.",10000,46,13000,833
462,The Legend of Zelda,"Feb 21, 1986",3.2,12000,12000,"The Legend of Zelda is the first title in the Zelda series, it has marked the history of video games particularly for it's game mechanics and universe. The player controls Link and must make his way through the forests, graveyards, plains and deserts of the Otherworld to find the secret entrances to the eight dungeons and try to restore the broken Triforce. Among the game's mechanics, it was the first time we saw a continuous world that could be freely explored, power-ups that permanently enhanced the main character's abilities and a battery save feature that allowed players to keep their progress instead of having to start over. The gameplay balanced action sequences with discovery, secrets and exploration.",93000,132,15000,463
463,AI: The Somnium Files - Nirvana Initiative,"Jun 23, 2022",3.9,455,455,Newly-appointed Special Agent Mizuki and her AI partner Aiba are tasked to solve the bizarre Half Body serial killings in this sequel to the critically acclaimed AI: The Somnium Files.,15000,139,835,811
464,Ghost Trick: Phantom Detective,"Jun 19, 2010",4.4,830,830,"Ghost Trick: Phantom Detective is a puzzle/adventure game for the Nintendo DS and iOS. It was developed mainly by Shu Takumi, the man behind the Ace Attorney Series. Game's story centers on the protagonist Sissel, and his ghost's struggle to discover who he was when he was alive and who killed him. The player assumes the role of this ghost, who has the ability to perform various Ghost Tricks to solve puzzles and navigate the world around him.",36000,149,18000,12000
465,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,"Sep 27, 2019",4.2,880,880,"Ready for a grand adventure filled with memorable characters, an enchanting story and classic RPG gameplay that can be taken on the go? This definitive version of the critically acclaimed game features the same sprawling content of the original, but with newly added character-specific stories, fully orchestrated field and battle music, and the ability to switch between not only between HD and retro-inspired 16-bit visuals, but also Japanese and English voice track.",47000,748,31000,12000
466,Paper Mario: The Thousand-Year Door,"Jul 22, 2004",4.4,13000,13000,"What sleeps behind the door?
             

              Time passes, the pages turn… and a new chapter unfolds in an unfamiliar land! Get ready for a two-dimensional role-playing adventure for the ages as Mario returns to paper form to discover a mystery that sleeps behind an ancient, legendary portal called the Thousand-Year Door. The quest is long, the dangers many, and this time, Mario will have to make full use of his papery qualities just to survive.",67000,187,29000,15000
467,God of War II,"Mar 13, 2007",4,936,936,"Kratos is now the God of War, having defeated the Olympian god Ares. Shunned by the other gods and still haunted by nightmares from his past, Kratos decides to join an army of Spartans in an attack on the city of Rhodes. Kratos also ignores a warning from the goddess Athena that his lust for revenge is alienating the other gods.",93000,89,13000,687
468,Mass Effect 2,"Jan 26, 2010",4.3,13000,13000,"Are you prepared to lose everything to save the galaxy? You'll need to be, Commander Shephard. It's time to bring together your greatest allies and recruit the galaxy's fighting elite to continue the resistance against the invading Reapers. So steel yourself, because this is an astronomical mission where sacrifices must be made. You'll face tougher choices and new, deadlier enemies. Arm yourself and prepare for an unforgettable intergalactic adventure.
             

              Game Features:
             

              Shift the fight in your favour. Equip yourself with powerful new weapons almost instantly thanks to a new inventory system. Plus, an improved health regeneration system means you'll spend less time hunting for restorative items.
             

              Make every decision matter. Divisive crew members are just the tip of the iceberg, Commander, because you'll also be tasked with issues of intergalactic diplomacy. And time's a wastin' so don't be afraid to use new prompt-based actions that let you interrupt conversations, even if they could alter the fate of your crew...and the galaxy.
             

              Forge new alliances, carefully. You'll fight alongside some of your most trustworthy crew members, but you'll also get the opportunity to recruit new talent. Just choose your new partners with care because the fate of the galaxy rests on your shoulders, Commander.",96000,107,19000,645
469,Forza Horizon 5,"nov. 09, 2021",3.8,589,589,"Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open-world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars.",46000,589,712,594
470,Metal Gear Solid V: Ground Zeroes,"Mar 18, 2014",3.3,650,650,"Metal Gear Solid V: Ground Zeroes is a prologue to Metal Gear Solid V: The Phantom Pain. It offers players new sneaking and traversal methods compared to its predecessors, as well as the choice in what order the story events take place by selecting missions by advance. The most important change for this title is the shift to an open world design with a real-time day and night cycle doing away with the linear mission approach of previous games. The game was originally developed as a mission for The Phantom Pain, but an extended development time resulted in director Hideo Kojima splitting the specific portion of the game as a stand-alone product so that players could get early access to Metal Gear Solid V.",95000,53,17000,549
471,No More Heroes III,"Aug 27, 2021",3.9,604,604,"The latest numbered entry in the No More Heroes series.
             

              Fight your way to the top of the Galactic Superhero Rankings!
              
              The legendary assassin Travis Touchdown makes his glorious return to the Madness in the No More Heroes 3 game, exclusively on the Nintendo Switch system!",16000,109,15000,14000
472,Banjo-Kazooie,"Jun 29, 1998",4,12000,12000,"In this 3D platformer, the heroic but naive bear Banjo enlists his cowardly bird buddy Kazooie to help rescue his younger sister from a vain, beauty-stealing witch. The player is tasked with exploring the witch's lair and the nine large, open levels within it, looking for tasks and challenges to complete. Along the way they meet a variety of characters who teach them new moves and transform them into different animals. Modeled after Super Mario 64, Banjo-Kazooie is distinguished by its cheeky and sarcastic sense of humor and by a large, varied, and novel moveset.",74000,205,21000,765
473,Astro's Playroom,"nov. 12, 2020",4,914,914,"Astro and his crew lead you on a magical introduction through PS5 in this fun platformer that comes pre-loaded on PS5. Explore four worlds, each based on PS5’s console components. Each area showcases innovative gameplay that taps into the new features of the PS5's DualSense wireless controller.",57000,82,358,249
474,Call of Duty: Black Ops II,"nov. 12, 2012",3.8,903,903,Black Ops II is the first game in the Call of Duty franchise to feature future warfare technology and the first to present branching storylines driven by player choice as well as selecting weapons before starting story mode missions.,13000,57,626,286
475,The Legend of Zelda: Skyward Sword HD,"Jul 16, 2021",3.8,639,639,"The Legend of Zelda: Skyward Sword HD is a remaster of the 2011 game Skyward Sword that features enhanced graphics and frame rate. The game now has a standard resolution of 1080p, an intuitive auto-save function and a streamlined item description among other improvements.",37000,444,23000,13000
476,Mega Man X,"Dec 17, 1993",4.1,12000,12000,"Near the end of his life, Dr. Light succeeds in creating the first of a new series of robots which will change the world. Able to think and make decisions, this new robot holds great danger as well as great possibilities. Fearful of the possible consequences of unleashing his creation on the world, Dr. Light decides to seal him in a capsule and test his systems until they are totally reliable. The future will have to decide his fate...
             

              Released from the capsule by Dr. Cain, ""X"" is born into the world of the future where the robot rebellions are a thing of the past. But when Dr. Cain tries to implement Dr. Light's designs into a new series of Reploids, something goes hideously wrong. Now the future lies on the brink of destruction and a new Mega Man must emerge to face Sigma and his forces before the human race is wiped from the planet!",69000,76,11000,385
477,Subnautica,"Jan 23, 2018",3.8,712,712,"Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more, all while trying to survive.",72000,335,29000,944
478,Returnal,"Apr 30, 2021",4,725,725,"After crash-landing on a shape-shifting alien planet, Selene finds herself fighting tooth and nail for survival. Again and again she’s defeated, forced to restart her journey every time she dies. In this roguelike shooter, both the planet and your equipment change with every cycle, forcing you to adapt your play style and take on evolving challenges.",24000,430,18000,16000
479,New Super Mario Bros. Wii,"nov. 12, 2009",3.5,859,859,"New Super Mario Bros. Wii is a side-scrolling 2.5D Mario platformer for the Wii and the tenth game in the Super Mario series. In addition to the single-player experience, New Super Mario Bros. Wii also features a multiplayer mode for up to four players. This is the first Super Mario game to feature co-op and vs. modes at the same time since Mario Bros. It features more items, new levels, and more enemies than the DS predecessor. The game introduces two new power-ups, the Propeller Mushroom and the Penguin Suit, which turn characters into their propeller and penguin forms, respectively.",13000,85,696,241
480,Citizen Sleeper,"May 05, 2022",4.1,492,492,"Roleplaying in the ruins of interplanetary capitalism. Live the life of an escaped worker, washed-up on a lawless station at the edge of an interstellar society. Inspired by the flexibility and freedom of TTRPGs, explore the station, choose your friends, escape your past and change your future.",12000,131,916,804
481,Yakuza 3 Remastered,"Aug 09, 2018",3.3,755,755,"This is the third Yakuza game, remastered for PlayStation 4!
             

              The Yakuza wars are spreading over to the tropical paradise of Okinawa. After leaving his last base in Kamimuro Chou, Kiryuu Kazuma went to Okinawa and opened an orphanage named Asagao with Haruka. Together with the children, they have taken in, the two slowly let go of the violent lives they have led prior to their arrival. However, the happy days are short-lived for the Yakuza are tightly connected with the Japanese government. A shady deal that involves the land which Asagao is built on spurs Kiryuu and Haruka back to their old hometown and fights with oppositional Yakuza groups. Fights and political intrigue comes hand in hand, become the rising dragon and protect the sanctuary you have built.",43000,235,23000,904
482,Garry's Mod,"Dec 24, 2004",3.8,478,478,"Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play. You spawn objects and weld them together to create your own contraptions - whether that's a car, a rocket, a catapult or something that doesn't have a name yet - that's up to you. You can do it offline, or join the thousands of players who play online each day. If you're not too great at construction - don't worry! You can place a variety of characters in silly positions. But if you want to do more, we have the means.",12000,198,543,242
483,Wolfenstein: The New Order,"May 20, 2014",3.6,794,794,"Wolfenstein: The New Order is an action-adventure shooter game played from a first-person perspective. It is the semi-sequel to 2009's Wolfenstein, however utilizes very little from the game and drops any direct references to veil or supernatural.
             

              To progress through the story, the player battle enemies throughout levels. The game utilizes a health system in which players' health is divided into separate sections that regenerate; if an entire section is lost, the player must use a health pack to replenish the missing health. In combat, a cover system can be used as assistance against enemies. The player have the ability to lean around, over, and under cover, which can be used as a tactical advantage during shootouts and stealth levels. The game gives the player a wide variety of weapon optionsâ€”they can be found on the ground, retrieved from dead enemies, or removed from their stationary position and carried around.",84000,149,22000,722
484,Deus Ex,"Jun 26, 2000",4.4,899,899,"A philosophical first-person WRPG set in a dystopian 2052 in which JC Denton, a nano-augmented agent for the anti-terrorist organization UNATCO, is tasked with stopping the invasion of Liberty Island by the terrorist group NSF. As events unfold, Denton finds that he plays a large part in a world-spanning conspiracy which forces him to ponder his allegiances, beliefs, morality, and view of right and wrong.",38000,189,27000,958
485,BioShock 2,"Feb 09, 2010",3.6,687,687,"BioShock 2 is the second game of the BioShock series and the sequel to BioShock. It continues the grand storyline of the underwater metropolis Rapture. BioShock 2 capitalizes and improves upon the high-quality effects, unique gameplay elements, and immersive atmosphere that defined the first game. It explores more brutal gameplay than its predecessor, with new enemies, weapons, Plasmids, and Gene Tonics.",91000,103,33000,691
486,Soul Hackers 2,"Aug 25, 2022",3.1,337,337,"Soul Hackers 2 takes place in the 21st Century and is set during a war between the Yagaratsu and the Phantom Society, two opposing factions of Devil Summoners. The story follows two supernatural ""Aion"" beings named Ringo and Figue, who descend into the human world from their birthplace in the data stream of information, in order to avert a cataclysmic event that they predict will doom humanity",750,228,932,11000
487,Enter the Gungeon,"Apr 05, 2016",3.6,632,632,"Enter the Gungeon is a gunfight dungeon crawler following a band of regretful misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past. Select a hero and battle your way to the bot¬tom of the Gungeon by surviving a challenging and evolving series of floors filled with the dangerously adorable Gundead and fearsome Gungeon bosses armed to the teeth. Gather precious loot, discover hidden secrets, and chat with opportunistic merchants and shopkeepers to purchase powerful items to gain an edge.",89000,403,24000,441
488,The House in Fata Morgana,"Dec 27, 2012",4.4,544,544,"A gothic suspense tale set in a cursed mansion. ""The House in Fata Morgana"" is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity.",17000,250,15000,13000
489,Shovel Knight,"Jun 26, 2014",4,761,761,"Shovel Knight is a sweeping classic action adventure game with awesome gameplay, memorable characters, and an 8-bit retro aesthetic. It's a hot mashup of new and old! You play as the eponymous Shovel Knight, a small knight with a huge quest. Shovel Knight has come to this land with two goals: to defeat the evil Enchantress and quest for his lost beloved. He wields a Shovel Blade: a multipurpose weapon whose techniques have now been lost to the ages. Always honest and helpful, Shovel Knight is a shining example of the code of Shovelry: Slash Mercilessly and Dig Tirelessly!
             

              But, between Shovel Knight and his beloved stands a cadre of villainous knights. These terrible foes, known as The Order of No Quarter, have been dispatched to prevent Shovel Knight from reaching the Enchantress, and will pursue their mission at any cost. If you love games with perfect platforming, beautiful art, infectious music, crazy bosses, humor and levity, and real heart… Shovel Knight is for you!",85000,135,19000,12000
490,Firewatch,"Feb 09, 2016",3.7,926,926,"Firewatch is a single-player first-person video game where you, as a man named Henry, explore the Wyoming wilderness after taking a summer job as a fire lookout. What is supposed to be a peaceful respite from your complicated life takes a turn when you start to question some of the things that are happening to you.
             

              Your only human connection is over a handheld radio, which you’ll use to speak with your supervisor Delilah about the things both of you are experiencing.",78000,99,16000,12000
491,Dark Souls II,"Mar 11, 2014",3.3,815,815,"The unique old-school action rpg experience captivated imaginations of gamers worldwide with incredible challenge and intense emotional reward.
              
              Dark Souls II brings the franchise’s renowned difficulty & gripping gameplay innovations to both single and multiplayer experiences.
             

              Immerse yourself into mind-bending environments filled with new twisted monsters and deadly bosses that could only come from the imagination of from software. A wide range of threats will prey on human senses & phobias - auditory hallucinations, vertigo, acrophobia, etc.",67000,128,14000,834
492,Blasphemous,"Sep 10, 2019",3.7,647,647,"Blasphemous is a punishing action-platformer that combines the fast-paced, skilled combat of a hack-n-slash game with a deep and evocative narrative core. Explore this nightmarish world of twisted religion and discover its many secrets hidden deep inside. Use devastating combos and brutal executions to smite the hordes of grotesque monsters and titanic bosses, who are all ready to rip your limbs off. Locate and equip relics, rosary beads and prayers that call on the powers of the heavens to aid you in your quest to break your eternal damnation.",42000,399,26000,1000
493,Final Fantasy XIV Online,"Aug 27, 2013",3.7,643,643,"Take part in an epic and ever-changing Final Fantasy as you adventure and explore with friends from around the world. Final Fantasy XIV Online is the 2013 relaunch of the massively multiplayer online role-playing game that takes the wonder of the FF legacy and expands it, allowing you to explore the realm of Eorzea like never before in a Final Fantasy game.
             

              Forge friendships, mount chocobos, and board airships as you and your companions create your own unique stories in Eorzea. Adventure alone or join up with friends to undertake epic quests, battle familiar Final Fantasy monsters, and acquire unique abilities and equipment. All the classic elements from the series that you have come to know and love are waiting! Embark of the adventure of a lifetime to help reforge the fate of Eorzea!",59000,11000,818,363
494,Immortality,"Aug 30, 2022",3.9,461,461,"Marissa Marcel was a film star. She made three movies. But none of the movies was ever released. And Marissa Marcel disappeared. The new game from Sam Barlow, creator of Her Story.",12000,95,587,564
495,Resident Evil 6,"oct. 02, 2012",2.5,888,888,"Resident Evil 6 is the ninth video game installment in the Resident Evil series. It continues the struggle against zombies infected by the new highly virulent C-virus. The game uses the same over-the-shoulder view as Resident Evil 4 and Resident Evil 5, however with a new gameplay mechanic that allows players to slowly move while shoot. Players can select between three scenarios featuring multiple characters and intertwined storylines, and within these scenarios both stories and action cross paths. At key moments during the game, up to four players can join together online to tackle a specific situation, with some stages seeing the usual partnerships swapped to further increase the depth of gameplay.",78000,189,18000,552
496,Devil May Cry 3: Dante's Awakening,"Feb 17, 2005",4.2,909,909,"Devil May Cry 3: Dante's Awakening is a prequel to the first Devil May Cry. The game plays very differently from its predecessors, as it puts much more emphasis on style rather than simple demon slaying. As such, combat is much more intense and faster than before. An all-new Style system that allows you to select your fighting style has also been incorporated.",61000,116,16000,648
