Title,North_America_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales
WWE 2K16,0.41,0.6,0,0.19,1.2
Dragon Ball Z: La Legende Saien,0,0,1.2,0,1.2
TwinBee,0,0,1.2,0,1.2
Ganbare Goemon! Karakuri Douchuu,0,0,1.2,0,1.2
NFL 2K,1.12,0.05,0,0.02,1.2
SolarStriker,0.4,0.39,0.36,0.04,1.2
Enter the Matrix,0.72,0.43,0.01,0.04,1.2
NHL 2002,0.59,0.46,0,0.15,1.2
Mario vs. Donkey Kong 2: March of the Minis,0.74,0.03,0.36,0.07,1.2
PokéPark Wii: Pikachu's Adventure,0.55,0.17,0.42,0.06,1.2
One Piece: Pirate Warriors,0.01,0.24,0.86,0.09,1.2
WWE 2K14,0.49,0.49,0,0.21,1.19
Metal Gear Solid: Portable Ops,0.38,0.35,0.38,0.09,1.19
Nuclear Strike,0.66,0.45,0,0.08,1.19
Captain Toad: Treasure Tracker,0.56,0.36,0.19,0.09,1.19
WWE SmackDown vs Raw 2008,0.45,0.47,0,0.28,1.19
The Simpsons: Road Rage,0.86,0.32,0,0.02,1.19
Pro Evolution Soccer 2008,0.09,0.84,0.11,0.15,1.19
SpongeBob SquarePants: Revenge of the Flying Dutchman,0.92,0.23,0,0.04,1.19
Mario & Sonic at the London 2012 Olympic Games,0.18,0.64,0.27,0.1,1.19
Scarface: The World is Yours,0.99,0.04,0,0.16,1.19
Kobe Bryant in NBA Courtside,01.02,0.13,0.04,0.01,1.19
Disney's Chip 'n Dale: Rescue Rangers,0.68,0.14,0.35,0.02,1.19
The Dukes of Hazzard: Racing for Home,0.99,0.16,0,0.04,1.19
Hitman 2: Silent Assassin,0.76,0.38,0,0.05,1.19
FIFA 14,0.41,0.66,0,0.12,1.19
Spider-Man: The Movie,0.86,0.27,0.01,0.04,1.19
Final Fantasy I & II: Dawn of Souls,0.64,0.24,0.29,0.02,1.19
NBA 2K17,0.83,0.14,0,0.22,1.19
Pokemon Super Mystery Dungeon,0.46,0.31,0.33,0.08,1.19
Just Dance 4,0.9,0.2,0,0.08,1.19
Metal Gear Solid VR Missions,0.66,0.45,0,0.08,1.18
Pole Position,1.1,0.07,0,0.01,1.18
Resident Evil: Operation Raccoon City,0.48,0.25,0.36,0.1,1.18
LEGO Indiana Jones: The Original Adventures,0.4,0.49,0,0.29,1.18
Pro Yakyuu Family Stadium '88,0.1,0,01.08,0,1.18
Shenmue,0.52,0.24,0.38,0.04,1.18
Mario Tennis,0.5,0.18,0.44,0.06,1.18
Tony Hawk's Pro Skater 2,0.85,0.31,0,0.02,1.18
WWE '12,0.53,0.46,0.02,0.17,1.18
WWE SmackDown vs. Raw 2010,0.48,0.49,0.01,0.2,1.18
Plants vs. Zombies,0.95,0.15,0,0.08,1.18
Sonic the Hedgehog,0.41,0.07,0.04,0.66,1.18
Super Ghouls 'n Ghosts,0.5,0.14,0.52,0.02,1.18
Spore,0.03,01.06,0,0.09,1.17
Soviet Strike,0.65,0.44,0,0.08,1.17
Your Shape: Fitness Evolved 2012,0.7,0.37,0,0.1,1.17
Army of Two,0.74,0.26,0.02,0.15,1.17
Gun,0.98,0.04,0,0.16,1.17
Ty the Tasmanian Tiger,0.57,0.45,0,0.15,1.17
Wario Land: Shake It!,0.6,0.31,0.15,0.11,1.17
Sonic Rush Adventure,0.54,0.49,0.01,0.12,1.17
Medal of Honor: Warfighter,0.58,0.47,0.01,0.1,1.17
Mega Man 3,0.68,0.1,0.39,0,1.17
Ratchet & Clank (2016),0.32,0.64,0.04,0.18,1.17
Mission: Impossible,0.74,0.38,0.02,0.03,1.17
Romancing SaGa 2,0,0,1.17,0,1.17
Cabela's Dangerous Hunts,0.57,0.45,0,0.15,1.17
Cool Boarders 4,0.65,0.44,0,0.08,1.17
Rage Racer,0.16,0.11,0.83,0.08,1.17
Medal of Honor: Rising Sun,0.76,0.36,0,0.05,1.17
Football Manager 2013,0,0.95,0,0.22,1.17
Destruction Derby 2,0.65,0.44,0,0.08,1.17
Mirror's Edge,0.51,0.51,0.01,0.13,1.17
Destiny: The Taken King,0.82,0.23,0,0.11,1.17
Mario vs. Donkey Kong,0.68,0.25,0.21,0.02,1.17
007: Quantum of Solace,0.43,0.52,0.02,0.2,1.16
EA Sports Active: More Workouts,0.78,0.28,0,0.1,1.16
Fallout: New Vegas,0.58,0.45,0,0.14,1.16
Need for Speed: Most Wanted,0.38,0.52,0.01,0.25,1.16
Final Fantasy Tactics: The War of the Lions,0.45,0.25,0.3,0.16,1.16
Midnight Club 3: DUB Edition Remix,0.97,0.04,0,0.16,1.16
Tom Clancy's Ghost Recon: Jungle Storm,0.57,0.44,0,0.15,1.16
SingStar,0.45,0.58,0,0.13,1.16
Bushido Blade,0.39,0.27,0.43,0.08,1.16
LEGO Star Wars III: The Clone Wars,0.66,0.39,0,0.11,1.16
NASCAR Thunder 2002,0.57,0.44,0,0.15,1.16
Jet Force Gemini,0.78,0.28,0.07,0.02,1.16
Mega Man X,0.57,0.08,0.5,0.01,1.16
Yu-Gi-Oh! The Sacred Cards (American and Others sales),0.84,0.27,0,0.05,1.16
Sega Rally Championship,0.21,0.16,0.77,0.02,1.16
Test Drive: Off Road,0.65,0.44,0,0.08,1.16
Medal of Honor Heroes 2,0.5,0.39,0.02,0.25,1.16
Sniper: Ghost Warrior,0.54,0.51,0,0.12,1.16
Rocksmith,0.52,0.38,0.09,0.17,1.16
LEGO Star Wars: The Video Game,0.83,0.28,0,0.05,1.16
FIFA Soccer 10,0.15,0.68,0.01,0.32,1.16
Plants vs. Zombies: Garden Warfare,0.51,0.54,0,0.1,1.16
Worldwide Soccer Manager 2009,0,1.14,0,0.01,1.15
Omerta: City of Gangsters,0.52,0.46,0,0.17,1.15
Gauntlet: Dark Legacy,0.56,0.44,0,0.15,1.15
Ninja Gaiden Sigma,0.57,0.33,0.09,0.16,1.15
Bad Boys: Miami Takedown,0.56,0.44,0,0.15,1.15
Kaboom!,01.07,0.07,0,0.01,1.15
Red Dead Redemption: Undead Nightmare,0.44,0.46,0.06,0.18,1.15
Sonic and the Black Knight,0.69,0.35,0.01,0.11,1.15
Call of Duty 4: Modern Warfare,0,1.12,0,0.03,1.15
Qix,0.51,0.2,0.41,0.03,1.15
Derby Stallion III,0,0,1.15,0,1.15
Doraemon,0,0,1.15,0,1.15
High School Musical 2: Work This Out!,0.5,0.52,0,0.13,1.15
Ratchet & Clank: All 4 One,0.75,0.22,0.05,0.12,1.15
Donkey Konga,0.5,0.16,0.46,0.03,1.15
Fight Night Champion,0.45,0.51,0,0.19,1.15
Dragon Quest I & II,0,0,1.15,0,1.15
Tak and the Power of Juju,0.56,0.44,0,0.15,1.15
Asteroids,0.64,0.43,0,0.07,1.15
Puyo Puyo Sun Ketteiban,0,0,01.07,0.07,1.15
Pokemon Rumble Blast,0.47,0.26,0.35,0.07,1.14
Action Bass,0.64,0.43,0,0.07,1.14
Tenchu: Wrath of Heaven,0.44,0.34,0.25,0.11,1.14
Shadow of the Colossus,0.78,0.03,0.2,0.13,1.14
Brave Fencer Musashi,0.25,0.17,0.65,0.07,1.14
Hot Shots Golf: Out of Bounds,0.31,0.03,0.76,0.04,1.14
Dance Dance Revolution Extreme 2,0.95,0.04,0,0.16,1.14
Mirror's Edge,0.31,0.59,0.02,0.22,1.14
Rabbids Go Home,0.26,0.75,0,0.14,1.14
South Park,0.9,0.23,0,0.02,1.14
Commando,0.71,0.16,0.25,0.03,1.14
Pilotwings,0.46,0.17,0.48,0.02,1.14
Resident Evil - Code: Veronica,0.41,0.23,0.47,0.03,1.14
Super R.C. Pro-Am,0.58,0.37,0.15,0.04,1.14
The Lord of the Rings: The Return of the King,0.71,0.38,0,0.05,1.14
LEGO Star Wars: The Video Game,0.82,0.3,0,0.02,1.14
Royal Palace of White Sword and The City of Gentiles,0,0.51,0,0.62,1.14
Guitar Hero 5,0.65,0.37,0,0.11,1.14
Mobile Suit Gundam: Federation vs. Zeon,0.12,0.1,0.88,0.03,1.14
Need for Speed Underground 2,0.7,0.39,0.01,0.03,1.14
MechAssault,01.01,0.1,0,0.03,1.13
ModNation Racers,0.5,0.41,0.06,0.16,1.13
LEGO Star Wars III: The Clone Wars,0.61,0.43,0,0.09,1.13
Derby Stallion 99,0,0,01.06,0.07,1.13
Cars,0.81,0.3,0,0.02,1.13
Fantasy Life,0.33,0.37,0.37,0.06,1.13
Tom Clancy's Rainbow Six 3: Black Arrow,0.99,0.12,0,0.02,1.13
WWE 2K15,0.38,0.56,0,0.19,1.13
Donkey Kong,0.23,0.05,0.84,0.01,1.13
Jampack Winter '98,0.63,0.43,0,0.07,1.13
WWE 2K14,0.64,0.39,0,0.1,1.13
Alien: Isolation,0.34,0.56,0.04,0.19,1.13
Yakuza 3,0.21,0.21,0.62,0.08,1.13
Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),0.81,0.3,0,0.02,1.13
The Beatles: Rock Band,0.67,0.3,0,0.15,1.13
Dragon Age II,0.72,0.3,0.01,0.09,1.12
Moon Patrol,01.05,0.06,0,0.01,1.12
Supercar Street Challenge,0.55,0.43,0,0.14,1.12
Pilotwings 64,0.56,0.24,0.3,0.02,1.12
Crackdown 2,0.63,0.37,0.02,0.1,1.12
Final Fantasy XIV: A Realm Reborn,0.36,0.33,0.28,0.15,1.12
Castlevania: Lords of Shadow,0.5,0.37,0.1,0.16,1.12
Rocksmith,0.84,0.2,0.01,0.08,1.12
Disney Infinity 2.0: Marvel Super Heroes,0.62,0.4,0,0.1,1.12
SOCOM: U.S. Navy SEALs Fireteam Bravo,01.03,0,0.01,0.08,1.12
Call Of Duty 2: Big Red One,0.66,0.4,0,0.05,1.12
Yoshi's Cookie,0.41,0.06,0.63,0.02,1.12
Guitar Hero 5,0.28,0.3,0,0.54,1.12
Worldwide Soccer Manager 2008,0,1.12,0,0,1.12
Spider-Man 2,0.82,0.26,0,0.04,1.12
Counter-Strike,0.85,0.23,0,0.04,1.11
Mad Max (2015),0.32,0.58,0.04,0.17,1.11
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",0.63,0.37,0,0.11,1.11
GRID,0.31,0.57,0.03,0.2,1.11
Guitar Hero Encore: Rocks The 80s,0.92,0.04,0,0.15,1.11
Sunset Overdrive,0.62,0.4,0,0.08,1.11
Rock Band,0.71,0.06,0,0.35,1.11
Tom Clancy's Splinter Cell: Chaos Theory,0.68,0.38,0,0.05,1.11
Donkey Kong Jr.,0.33,0.07,0.7,0.01,1.11
Arc the Lad,0,0,1.1,0.01,1.11
NBA Jam Tournament Edition,0.95,0.14,0,0.03,1.11
Need for Speed: ProStreet,0.54,0.46,0,0.12,1.11
Pikmin 3,0.45,0.31,0.29,0.06,1.11
Legend of Mana,0.18,0.13,0.73,0.07,1.11
Lumines: Puzzle Fusion,0.52,0.35,0,0.23,1.11
Toy Story 3: The Video Game,0.51,0.42,0,0.17,1.11
Guitar Hero 5,0.53,0.4,0,0.17,1.1
Megamania,01.03,0.06,0,0.01,1.1
Medal of Honor: Airborne,0.45,0.53,0.01,0.12,1.1
The Legend of Zelda: Tri Force Heroes,0.52,0.33,0.17,0.08,1.1
Jungle Hunt,01.03,0.06,0,0.01,1.1
Triple Play 98,0.61,0.42,0,0.07,1.1
LEGO The Lord of the Rings,0.36,0.53,0,0.21,1.1
Petz Dogz 2,0.47,0.52,0,0.12,1.1
WWE SmackDown vs. Raw 2011,0.44,0.46,0.01,0.18,1.1
Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,0,0,1.1,0,1.1
Lode Runner,0,0,1.1,0,1.1
The Final Fantasy Legend,0,0,1.1,0,1.1
Famicom Jump: Eiyuu Retsuden,0,0,1.1,0,1.1
F-Zero X,0.45,0.33,0.29,0.03,1.1
Popeye,0.51,0.12,0.45,0.02,1.1
NERF N-Strike,0.92,0.09,0,0.09,1.1
NBA Live 2001,0.52,0.4,0.04,0.13,1.1
SingStar Legends,0.12,0.75,0,0.23,1.1
SingStar Rocks!,0,0.84,0,0.25,1.1
Tales of Symphonia,0.54,0.21,0.31,0.04,1.1
Untold Legends: Brotherhood of the Blade,0.54,0.33,0.01,0.22,1.1
Star Ocean: The Second Story,0.26,0.1,0.72,0.02,1.1
Lightning Returns: Final Fantasy XIII,0.31,0.22,0.45,0.12,1.1
Star Wars: The Force Unleashed,0.43,0.41,0,0.25,01.09
Imagine: Babysitters,0.63,0.36,0,0.1,01.09
The Simpsons Game,0.24,0.55,0,0.31,01.09
Yakuza 2,0.05,0.04,0.84,0.16,01.09
Skate 2,0.82,0.17,0.01,0.09,01.09
Dragon Ball Z: The Legacy of Goku II,0.78,0.29,0,0.02,01.09
Virtua Fighter 5,0.29,0.52,0.08,0.2,01.09
NFL 2K1,01.02,0.05,0,0.02,01.09
BeatMania,0,0,01.07,0.02,01.09
Namco Museum Battle Collection,0.75,0.18,0,0.16,01.09
LEGO Star Wars II: The Original Trilogy,0.96,0.04,0,0.08,01.09
Madden NFL 2004,01.02,0.02,0,0.05,01.09
Empire: Total War,0.01,0.97,0,0.11,01.09
The Godfather,0.89,0.03,0.01,0.15,01.09
Tiger Woods PGA Tour 10,0.61,0.37,0,0.11,01.09
Star Wars: Bounty Hunter,0.53,0.42,0,0.14,01.09
Densha De Go!,0,0,01.02,0.07,01.09
Dante's Inferno,0.64,0.28,0.04,0.13,01.09
Sonic & Sega All-Stars Racing,0.44,0.54,0,0.11,01.09
Skylanders Giants,0.35,0.52,0,0.22,01.09
Endless Ocean,0.44,0.47,0.09,0.09,01.09
NFL Blitz 2000,0.6,0.41,0,0.07,01.09
Sonic Free Riders,0.74,0.26,0,0.09,01.09
NASCAR Thunder 2004,0.53,0.41,0,0.14,01.08
Prince of Persia,0.47,0.41,0.03,0.18,01.08
SpongeBob SquarePants: Revenge of the Flying Dutchman,0.53,0.41,0,0.14,01.08
Grand Theft Auto V,0.36,0.64,0,0.08,01.08
The Biggest Loser,0.87,0.12,0,0.09,01.08
Fisherman's Bass Club,0.53,0.41,0,0.14,01.08
MySims Agents,0.55,0.43,0,0.11,01.08
Resident Evil: The Darkside Chronicles,0.48,0.32,0.2,0.09,01.08
NCAA Football 13,01.02,0,0,0.06,01.08
Grand Theft Auto: Chinatown Wars,0.28,0.5,0.03,0.28,01.08
FIFA Soccer 11,0.26,0.69,0,0.12,01.08
The Orange Box,0.28,0.59,0,0.22,01.08
Joust,01.01,0.06,0,0.01,01.08
Tomb Raider: Underworld,0.53,0.43,0.01,0.11,01.08
Tom Clancy's Ghost Recon 2,0.64,0.34,0,0.1,01.08
DiRT 3,0.27,0.59,0.01,0.21,01.08
LEGO City Undercover,0.47,0.4,0.13,0.08,01.08
Spore Creatures,0.67,0.3,0,0.11,01.08
Ready 2 Rumble Boxing,0.6,0.41,0,0.07,01.08
Dragon Ball Z: Taiketsu,0.77,0.29,0,0.02,01.08
Disney's Lilo & Stitch,0.77,0.29,0,0.02,01.08
Star Fox: Assault,0.68,0.18,0.19,0.03,01.08
Naruto: Ultimate Ninja Storm,0.49,0.35,0.09,0.16,01.08
Marvel vs. Capcom 3: Fate of Two Worlds,0.79,0.18,0.03,0.07,01.08
NCAA Football 14,01.01,0,0,0.06,01.07
Doko Demo Issyo,0,0,1,0.07,01.07
Call of Duty 3,0.89,0.03,0,0.15,01.07
Imagine: Fashion Designer New York,0.65,0.32,0,0.1,01.07
Red Dead Redemption: Undead Nightmare,0.57,0.39,0.02,0.09,01.07
Bully: Scholarship Edition,0.53,0.4,0.03,0.11,01.07
Virtua Fighter,0.17,0.12,0.77,0.02,01.07
Championship Manager 99/00,0,0.98,0,0.09,01.07
WWE SmackDown vs. Raw 2010,0.53,0.01,0,0.54,01.07
Pro Evolution Soccer 2008,0.08,0.9,0.04,0.05,01.07
Super Princess Peach,0.72,0.06,0.21,0.07,01.07
NHL 99,0.59,0.4,0,0.07,01.07
SoulCalibur III,0.74,0.15,0.13,0.05,01.07
Skylanders SWAP Force,0.43,0.44,0,0.2,01.07
F1 2012,0.12,0.64,0.05,0.25,01.07
World Tour Soccer,0.1,0.63,0,0.34,01.07
Disney Universe,0.67,0.3,0,0.1,01.07
Ridge Racer Revolution,0.17,0.12,0.71,0.07,01.07
LEGO Pirates of the Caribbean: The Video Game,0.54,0.42,0,0.1,01.07
Hot Wheels Turbo Racing,0.59,0.4,0,0.07,01.07
NCAA Football 99,0.59,0.4,0,0.07,01.06
Mortal Kombat: Armageddon,0.88,0.04,0,0.14,01.06
Aliens vs Predator,0.55,0.4,0,0.11,01.06
Freekstyle,0.52,0.41,0,0.14,01.06
Junior Brain Trainer,0.23,0.74,0,0.1,01.06
Darksiders,0.67,0.29,0.01,0.1,01.06
DiRT,0.16,0.67,0,0.23,01.06
Call of Duty 4: Modern Warfare,0.96,0.02,0.01,0.08,01.06
Simple 1500 Series Vol. 1: The Mahjong,0,0,0.99,0.07,01.06
Sega Superstars Tennis,0.28,0.65,0,0.13,01.06
NBA Street V3,0.52,0.41,0,0.14,01.06
Sleeping Dogs,0.31,0.5,0.05,0.19,01.06
Mercenaries 2: World in Flames,0.65,0.3,0.01,0.1,01.06
Worms Armageddon,0.18,0.81,0,0.08,01.06
Hulk,0.52,0.41,0,0.14,01.06
LEGO Indiana Jones: The Original Adventures,0.44,0.44,0,0.18,01.06
NFL Blitz,01.02,0.04,0,0.01,01.06
NFL Quarterback Club 98,01.01,0.05,0,0.01,01.06
DJ Hero,0.56,0.4,0,0.11,01.06
Dora the Explorer: Dora Saves the Mermaids,0.97,0.01,0,0.08,01.06
Diablo II: Lord of Destruction,01.03,0.02,0,0,01.06
Naruto Shippuden: Ultimate Ninja Storm 4,0.39,0.41,0.1,0.16,01.06
Spider-Man 2,0.76,0.28,0,0.02,01.06
Virtua Tennis 3,0.23,0.59,0.03,0.22,01.06
Seek and Destroy,0.52,0.4,0,0.14,01.06
Warhawk,0.49,0.39,0,0.17,01.06
Apollo Justice: Ace Attorney,0.32,0.06,0.64,0.04,01.06
Assassin's Creed: Rogue,0.58,0.38,0,0.09,01.05
Cosmic Ark,0.99,0.05,0,0.01,01.05
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,0.81,0.11,0,0.13,01.05
Skylanders: Trap Team,0.42,0.54,0,0.08,01.05
Aliens vs Predator,0.41,0.47,0,0.18,01.05
Defender,0.99,0.05,0,0.01,01.05
Dance on Broadway,0.27,0.66,0,0.12,01.05
Adventure Island,0,0,01.05,0,01.05
Arc the Lad II,0,0,0.92,0.13,01.05
Tag Team Match M.U.S.C.L.E.,0,0,01.05,0,01.05
Derby Stallion 96,0,0,01.04,0.01,01.05
UFC Undisputed 3,0.55,0.34,0.03,0.13,01.05
NBA 2K3,0.51,0.4,0,0.13,01.05
Dragon Ball: XenoVerse,0.3,0.48,0.12,0.15,01.05
The Simpsons: Road Rage,0.78,0.26,0,0.01,01.05
Dave Mirra Freestyle BMX,0.91,0.11,0,0.03,01.05
Imagine: Animal Doctor,0.45,0.49,0,0.11,01.05
WWE SmackDown vs. Raw 2010,0.56,0.38,0.01,0.11,01.05
Forza Motorsport,0.52,0.51,0,0.02,01.05
Sonic the Hedgehog,0.44,0.49,0,0.11,01.05
MySims Agents,0.62,0.32,0,0.1,01.05
Monster Rancher 2,0.19,0.13,0.66,0.07,01.05
Pokemon Conquest,0.58,0.06,0.37,0.04,01.05
The Simpsons Game,0.54,0.4,0,0.11,01.05
Guinness World Records: The Videogame,0.46,0.47,0,0.11,01.04
MVP Baseball 2003,0.51,0.4,0,0.13,01.04
Legacy of Kain: Soul Reaver,0.58,0.4,0,0.07,01.04
Dragon Ball Z: Budokai Tenkaichi 3,0.33,0.37,0.26,0.09,01.04
Disney Tangled,0.58,0.37,0,0.09,01.04
Tales of Destiny,0.09,0.06,0.83,0.07,01.04
ATV: Quad Power Racing,0.58,0.39,0,0.07,01.04
Disney Fairies: Tinker Bell and the Lost Treasure,0.57,0.35,0.02,0.1,01.04
Mega Man X4,0.45,0.3,0.22,0.07,01.04
Naruto: Clash of Ninja 2,0.44,0.12,0.45,0.03,01.04
Dance Dance Revolution SuperNOVA,0.87,0.03,0,0.14,01.04
Brink,0.59,0.35,0.01,0.09,01.04
F-Zero: Maximum Velocity,0.39,0.16,0.37,0.12,01.04
Bomberman 64,0.5,0.2,0.31,0.03,01.04
Jeremy McGrath Supercross 98,0.91,0.1,0,0.03,01.04
LEGO Indiana Jones 2: The Adventure Continues,0.62,0.33,0,0.09,01.04
Project CARS,0.17,0.69,0.02,0.15,01.04
Need for Speed: Most Wanted,0.53,0.46,0,0.05,01.04
Kirby: Mass Attack,0.52,0.06,0.41,0.05,01.04
LEGO Marvel Super Heroes,0.61,0.34,0,0.09,01.04
ZhuZhu Pets,0.68,0.27,0,0.09,01.04
Tom Clancy's Ghost Recon Advanced Warfighter 2,0.34,0.48,0.02,0.19,01.04
MotorStorm: Arctic Edge,0.16,0.58,0,0.3,01.04
WipEout Pure,0.47,0.34,0,0.22,01.04
EA Sports UFC,0.46,0.4,0.01,0.17,01.04
MX vs. ATV Unleashed,0.86,0.03,0,0.14,01.03
Sonic Unleashed,0.56,0.33,0.01,0.14,01.03
Tiger Woods PGA Tour 08,0.94,0.02,0,0.08,01.03
Rayman Origins,0.33,0.51,0.01,0.18,01.03
Epic Mickey 2: The Power of Two,0.72,0.23,0,0.08,01.03
NCAA March Madness 2004,0.5,0.39,0,0.13,01.03
Donkey Kong Land III,0.68,0.31,0,0.04,01.03
Bomberman,0.18,0,0.85,0,01.03
The Simpsons Game,0.45,0.47,0,0.11,01.03
Tomb Raider,0.96,0.07,0,0,01.03
Rock Band 2,0.94,0.01,0,0.08,01.03
Street Fighter Alpha 3,0.38,0.12,0.51,0.02,01.03
Bulletstorm,0.61,0.32,0.01,0.08,01.02
FIFA Soccer 08,0.32,0.59,0.01,0.11,01.02
Naruto: Clash of Ninja Revolution,0.45,0.46,0,0.11,01.02
Tom Clancy's Ghost Recon Advanced Warfighter 2,0.87,0.05,0.02,0.08,01.02
ZombiU,0.53,0.36,0.05,0.08,01.02
Shrek 2,0.73,0.26,0.01,0.03,01.02
Petz: Catz 2,0.51,0.4,0,0.11,01.02
Tales of Graces f,0.28,0.21,0.45,0.08,01.02
Final Fight 2,0.39,0.12,0.49,0.02,01.02
Wall-E,0.51,0.4,0,0.11,01.02
The Lost World: Jurassic Park,0.57,0.39,0,0.07,01.02
Ace Combat 6: Fires of Liberation,0.69,0.04,0.22,0.06,01.02
Madden NFL 07,0.97,0.03,0,0.03,01.02
Disney Infinity 2.0: Marvel Super Heroes,0.44,0.4,0,0.17,01.02
Harry Potter and the Prisoner of Azkaban,0.5,0.39,0,0.13,01.02
Pong: The Next Level,0.56,0.38,0,0.07,01.01
Bayonetta 2,0.34,0.28,0.1,0.3,01.01
Prince of Persia,0.54,0.35,0.02,0.1,01.01
God of War: Ghost of Sparta,0.41,0.36,0.03,0.21,01.01
Sonic Generations,0.44,0.46,0.01,0.09,01.01
Ninja Gaiden II,0.65,0.22,0.05,0.1,01.01
NBA Jam Tournament Edition,0.87,0.12,0,0.02,01.01
Championship Manager 3,0,0.93,0,0.08,01.01
Guitar Hero: Warriors of Rock,0.48,0.44,0,0.09,01.01
Oshare Majo Love and Berry: DS Collection,0,0,01.01,0,01.01
Monster Rancher,0.12,0.08,0.74,0.07,01.01
The LEGO Movie Videogame,0.33,0.48,0.02,0.18,01.01
DiRT 2,0.27,0.53,0,0.2,01.01
Rayman Legends,0.21,0.61,0,0.18,01.01
NERF N-Strike Elite,0.93,0,0,0.07,1
Ford Racing 2,0.49,0.38,0,0.13,1
Breath of Fire III,0.29,0.19,0.46,0.07,1
PES 2009: Pro Evolution Soccer,0.13,0.76,0.03,0.09,1
Dead or Alive 2,0.3,0.24,0.38,0.08,1
1942,0.65,0.14,0.21,0,1
Excitebike 64,0.65,0.15,0.19,0.01,1
NES Open Tournament Golf,0.41,0.1,0.47,0.02,1
Game & Watch Gallery,0.63,0.25,0.09,0.03,1
Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,0,0,1,0,1
SoulCalibur II,0.78,0.18,0.03,0,1
Haze,0.49,0.33,0.02,0.15,1
UFC Undisputed 3,0.72,0.21,0,0.07,1
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),0.08,0.9,0.02,0,1
Road & Track Presents: The Need for Speed,0.56,0.38,0,0.07,1
NFL GameDay 2001,0.56,0.38,0,0.07,1
Killzone: Mercenary,0.25,0.49,0.04,0.22,1
NBA Live 97,0.55,0.38,0,0.07,1
Dynasty Warriors 3: Xtreme Legends,0.13,0.1,0.74,0.03,1
Zoo Tycoon DS,0.86,0.04,0.01,0.08,1
Rocksmith 2014,0.51,0.27,0.05,0.15,1
Dead Space 3,0.44,0.38,0,0.17,1
Wheel of Fortune,0.89,0.04,0,0.06,1
Disney Infinity,0.48,0.35,0,0.16,1
Dark Souls,0.64,0.28,0,0.08,1
Puzzler Collection,0.17,0.78,0,0.04,1
Jampack Winter 2000,0.55,0.38,0,0.07,1
Dead Space 3,0.64,0.28,0,0.08,0.99
Phoenix Wright: Ace Attorney,0.49,0.07,0.39,0.05,0.99
NFL Fever 2002,0.74,0.21,0,0.04,0.99
The Simpsons: Hit & Run,0.77,0.2,0,0.03,0.99
Littlest Pet Shop: Winter,0.59,0.31,0,0.1,0.99
LEGO Harry Potter: Years 5-7,0.51,0.39,0,0.09,0.99
Tom Clancy's Splinter Cell: Blacklist,0.57,0.34,0.01,0.08,0.99
Ace Combat X: Skies of Deception,0.37,0.31,0.12,0.19,0.99
NCAA Football 12,0.94,0,0,0.06,0.99
LEGO Pirates of the Caribbean: The Video Game,0.36,0.46,0,0.17,0.99
Band Hero,0.6,0.3,0,0.09,0.99
Cars: Race-O-Rama,0.61,0.3,0,0.09,0.99
Oddworld: Abe's Exoddus,0.55,0.38,0,0.06,0.99
EyePet,0.35,0.52,0.04,0.09,0.99
Scooby-Doo! First Frights,0.88,0.05,0,0.07,0.99
Midnight Club: LA Remix,0.52,0.28,0,0.19,0.99
The Bouncer,0.3,0.23,0.38,0.08,0.99
Guitar Hero: Aerosmith,0.73,0.15,0,0.11,0.99
WWE SmackDown vs Raw 2008,0.38,0.5,0,0.11,0.99
FIFA Soccer 10,0.23,0.65,0,0.11,0.99
Shadow The Hedgehog,0.76,0.2,0,0.03,0.99
Farming Simulator 2013,0,0.8,0,0.18,0.99
Fallout 3,0.02,0.88,0,0.08,0.99
Cars,0.85,0.05,0,0.08,0.98
Pro Evolution Soccer 2008,0.02,0.53,0.19,0.25,0.98
Far Cry 3,0.21,0.62,0,0.14,0.98
Xenoblade Chronicles,0.49,0.26,0.16,0.08,0.98
Just Dance 2014,0.72,0.19,0,0.07,0.98
Mario Party Advance,0.5,0.19,0.28,0.02,0.98
Sonic & Sega All-Stars Racing,0.36,0.46,0,0.17,0.98
Tetris 2,0.62,0.13,0.21,0.02,0.98
NASCAR 99,0.94,0.04,0,0.01,0.98
Air-Sea Battle,0.91,0.06,0,0.01,0.98
Suikoden III,0.29,0.23,0.38,0.08,0.98
Kingdom Hearts Re:coded,0.56,0.1,0.27,0.05,0.98
South Park: The Stick of Truth,0.42,0.38,0,0.17,0.98
Driver: San Francisco,0.24,0.54,0.01,0.18,0.98
Sniper Elite V2,0.38,0.39,0.06,0.15,0.98
Far Cry 4,0.45,0.44,0,0.08,0.98
Grand Theft Auto: San Andreas,0,0.92,0,0.05,0.98
Tom Clancy's Splinter Cell: Blacklist,0.34,0.41,0.06,0.18,0.98
Pro Evolution Soccer 2014,0.03,0.43,0.51,0.01,0.98
Madden NFL 16,0.82,0.05,0,0.1,0.98
Madden NFL 10,0.88,0,0,0.1,0.98
Brutal Legend,0.62,0.27,0,0.09,0.98
